iso3,alpha1,beta1,alpha2,beta2,alpha3
NGA,-1.189661148,3.974380638,-10.19916454,0.104266295,-5.259343805
AUS,-8.690458982,4.194776347,-12.12521069,0.11029372,-7.826779927
